"Code","Name"
"DEV-IL201-R","Get Started with Team Foundation Service (repeated from 6 26 at 8 30)"
"DEV-IL202","Creating a Windows Store Application  XAML and C# from Start to Finish (repeats on 6 28 at 10 15)"
"DEV-IL202-R","Creating a Windows Store Application  XAML and C# from Start to Finish (repeated from 6 27 15 15)"
"EXM01","Exam Prep  70-410 and 70-417 - MCSA  Windows Server 2012"
"EXM02","Exam Prep  70-411 and 70-417 - MCSA  Windows Server 2012"
"EXM03","Exam Prep  70-412 and 70-417 - MCSA  Windows Server 2012"
"EXM04","Exam prep  70-413 and 70-414 - MCSE  Server Infrastructure"
"EXM05","Exam prep  70-415 and 70-416 - MCSE  Desktop Infrastructure"
"EXM07","Exam Prep  70-689 - MCSA  Windows 8"
"EXM09","Exam Prep  70-331 and 70-332 - MCSE  SharePoint (Microsoft SharePoint Server 2013)"
"EXM10","Exam Prep  70-336 and 70-337 - MCSE  Communications (Microsoft Lync Server 2013)"
"EXM101","Microsoft Certification and You"
"EXM101-R","Microsoft Certification and You"
"EXM11","Exam Prep  70-341 and 70-342 - MCSE  Messaging (Microsoft Exchange Server 2013)"
"EXM12","Exam prep  70-410 and 70-417 - MCSA  Windows Server 2012 (Repeat)"
"EXM13","Exam Prep  70-689 - MCSA  Windows 8 (repeat)"
"EXM15","Exam Prep  70-461  MCSA  Microsoft SQL Server 2012"
"EXM16","Exam Prep  70-462  MCSA  Microsoft SQL Server 2012"
"EXM17","Exam Prep  70-463  MCSA  Microsoft SQL Server 2012"
"FDN01","Big Data. Small Data. All Data."
"FDN02","Building Modern Business Applications"
"FDN03","Enabling People-Centric IT"
"FDN04","Microsoft Office & SharePoint 2013 Development  Introduction to the New Cloud App Model"
"FDN05","Modern Application Lifecycle Management"
"FDN06","Transform the Datacenter with Server and Management Innovations from Microsoft"
"KEY01","The Cloud OS  It???s Time! "
"KEY02","Windows is the Future"
"MDC-B201","Microsoft System Center 2012 - Orchestrator  Crash Course"
"MDC-B202","Running and Managing Linux and UNIX with Hyper-V and Microsoft System Center"
"MDC-B203","Deploying Applications in Microsoft System Center 2012 - Virtual Machine Manager Using Services"
"MDC-B205","Introduction to Windows Server 2012 R2"
"MDC-B206","Introduction to System Center 2012 R2"
"MDC-B208","Microsoft System Center 2012 SP1 - Operations Manager  Overview and What???s New"
"MDC-B210","Everything You Need to Know about the Software Defined Networking Solution from Microsoft "
"MDC-B212","Infrastructure Services on Windows Azure  Virtual Machines and Virtual Networks with Mark Russinovich"
"MDC-B213","IaaS  Hosting a Microsoft SharePoint 2013 Farm on Windows Azure"
"MDC-B215","Building Cloud Services with Windows Server 2012 R2, Microsoft System Center 2012 R2 and the Windows Azure Pack"
"MDC-B216","What???s New in Windows Server 2012 R2 Networking"
"MDC-B217","Deploying Windows Server 2012 R2 File Services for Exceptional $ IOPS "
"MDC-B218","Storage Spaces  What???s New in Windows Server 2012 R2"
"MDC-B225","Windows Azure Pack  Bringing Windows Azure Web Sites to the Private Cloud"
"MDC-B300","Running Your Active Directory in Windows Azure Virtual Machines"
"MDC-B302","Desired State Configuration in Windows Server 2012 R2 PowerShell"
"MDC-B303","Internet Information Services  What???s New in Window Server 2012 R2"
"MDC-B304","Managing Multi-Hypervisor Environments with Microsoft System Center 2012"
"MDC-B305","Continuous Availability  Deploying and Managing Clusters Using Windows Server 2012 R2"
"MDC-B306","Implementing Enterprise-Scale Disaster Recovery with Hyper-V Replica, Windows Network Virtualization and Microsoft System Center 2012 SP1"
"MDC-B310","Microsoft System Center 2012  Managing a Microsoft Exchange Infrastructure and Lync Server 2013 - Better Together"
"MDC-B311","Application Availability Strategies for the Private Cloud"
"MDC-B312","Building Hosted Clouds Using Windows Server 2012 R2"
"MDC-B314","System Center Operations Manager  Panel Discussion"
"MDC-B318","Enabling Multi-Tenant IaaS Clouds in Microsoft System Center and Windows Server"
"MDC-B320","CSPP Enables You to Deliver a Private Cloud in the Enterprise Coupled with Chargeback"
"MDC-B321","Lessons learned from implementing Windows Server 2012 and System Center 2012 SP1 for Hosters (Service Providers)"
"MDC-B322","Automating Microsoft System Center Deployment with the PowerShell Deployment Toolkit"
"MDC-B324","Key Metrics and Practices for Monitoring Virtualization Platforms"
"MDC-B325","Mission  IT Operations for a Good Night's Sleep"
"MDC-B326","Integrating with Microsoft System Center 2012 and Windows PowerShell"
"MDC-B327","Monitoring and Managing the Network and Storage Infrastructure with Microsoft System Center 2012 - Operations Manager"
"MDC-B328","Best Practices in Virtualizing and Managing Microsoft SQL Server with Microsoft System Center and Windows Server"
"MDC-B329","Effective Capacity Planning of Your Infrastructure Resources with Microsoft System Center 2012 - Operations Manager Reporting"
"MDC-B330","Hyper-V - What's New in Windows Server 2012 R2"
"MDC-B331","Upgrading Your Private Cloud with Windows Server 2012 R2"
"MDC-B333","Storage and Availability Improvements in Windows Server 2012 R2"
"MDC-B335","Understanding the Hyper-V over SMB Scenario, Configurations, and End-to-End Performance"
"MDC-B336","Cluster in a Box in 2013  How Real Customers Are Making Their Businesses Highly-Available with Windows Server 2012"
"MDC-B337","Failover Cluster Networking Essentials"
"MDC-B338","Overview of Windows Server 2012 Hyper-V"
"MDC-B339","Windows Server 2012 Deployment and Ongoing Management  Why Server Core Is Right for You"
"MDC-B340","Windows PowerShell Unplugged"
"MDC-B341","StorSimple  Enabling Windows Azure Storage for Enterprise Workloads"
"MDC-B342","Reduce Storage Costs with Data Deduplication"
"MDC-B343","Top 5 Server Application Deployment and Servicing Problems Addressed by Server App-V and System Center 2012 SP1 - Virtual Machine Manager"
"MDC-B344","Storage Management  Spanning the Enterprise to Low Cost Scalable Solutions"
"MDC-B345","Windows Server 2012 Hyper-V Storage Performance"
"MDC-B346","Intel and Microsoft Software-Defined Networking Initiatives and Platforms"
"MDC-B347","Migrating from VMware  Tools and Tips"
"MDC-B348","Upgrading the Platform - How to Get There! Part 2  Networking Infrastructure and Management"
"MDC-B349","Upgrading the Platform - How to Get There! Part 3  Your Fileservers and Storage Options"
"MDC-B350","How to Design and Configure Networking in Microsoft System Center - Virtual Machine Manager and HyperV (Part 1 of 2)"
"MDC-B351","How to Design and Configure Networking in Microsoft System Center - Virtual Machine Manager and HyperV (Part 2 of 2)"
"MDC-B352","Comparing the Microsoft Private Cloud and the VMware vCloud"
"MDC-B353","Comparing Windows Server Hyper-V and VMware vSphere"
"MDC-B356","Best Practices in Virtualizing and Managing Microsoft SharePoint with Microsoft System Center and Windows Server"
"MDC-B357","What???s New in Microsoft System Center 2012 R2 - Virtual Machine Manager"
"MDC-B360","Hybrid Networking offerings in Windows Azure"
"MDC-B361","Best Practices from Real Customers  Deploying to Windows Azure Infrastructure Services (IaaS)"
"MDC-B362","Administering and Automating On-Premises IaaS Scenarios Using the Windows Azure Pack"
"MDC-B364","Enabling On-Premises IaaS Solutions with the Windows Azure Pack"
"MDC-B365","Better Networking, More Net Gains  How Windows Server 2012 Can Be Your Director of Protocol(s)"
"MDC-B370","Building Your Lab, Dev, and Test Scenarios in Windows Azure Infrastucture Services (IaaS)"
"MDC-B371","Building Reliable and Resilient Apps on Windows Azure Infrastructure Services (IaaS)"
"MDC-B373","Understanding Hyper-V Replica  Performance, Networking and Automation"
"MDC-B375","Microsoft Private Cloud Fast Track v3  Private Cloud Reference Architecture Based on Windows Server 2012 and Microsoft System Center 2012 SP1"
"MDC-B376","Networking for Cloud Services in Windows Server 2012 R2"
"MDC-B377","Windows Azure in the Enterprise"
"MDC-B380","Deep Dive on Hyper-V Network Virtualization in Windows Server 2012 R2"
"MDC-B400","Advanced Automation Using Windows PowerShell"
"MDC-B401","Automate Private Cloud Protection and Recovery with Microsoft System Center 2012 - Data Protection Manager"
"MDC-B402","Monitor Your Cloud Application Infrastructure on Windows Azure and Amazon EC2"
"MDC-B403","Failover Clustering  Quorum Model Design for Your Private Cloud"
"MDC-H201","Implementing Storage Pools and Storage Spaces"
"MDC-H202","Active Directory Deployment and Management Enhancements"
"MDC-H203","Getting Started with Windows Server 2012 Hyper-V Replication"
"MDC-H204","Introduction to DirectAccess in Windows Server 2012"
"MDC-H206","Introduction to Windows PowerShell Fundamentals"
"MDC-H207","Managing Branch Offices"
"MDC-H208","Managing Your Network Infrastructure with IP Address Management"
"MDC-H209","Microsoft System Center 2012  Application Performance Monitoring"
"MDC-H210","Microsoft System Center 2012  Configuring Your Infrastructure"
"MDC-H211","Microsoft System Center 2012  Configuring Your Private Cloud"
"MDC-H212","Microsoft System Center 2012  Installation and Deployment"
"MDC-H214","Microsoft System Center 2012  Chargeback and Reporting"
"MDC-H215","Microsoft System Center 2012  Creating a Management Pack in Microsoft Visio"
"MDC-H216","Using Dynamic Access Control to Automatically and Centrally Secure Data"
"MDC-H217","What's New in Windows PowerShell 3.0"
"MDC-H302","Building a Windows Server 2012 Storage Infrastructure"
"MDC-H303","Configuring Hyper-V over Highly Available SMB Storage"
"MDC-H304","Creating a Resilient Network Infrastructure with Windows Server 2012"
"MDC-H305","Creating a Web Farm for Multi-Tenant Applications"
"MDC-H306","Deploying and Configuring Windows Server 2012 Servers with Server Manager, Windows PowerShell, and MinShell"
"MDC-H308","Network Automation Using Window Server 2012 R2 IPAM"
"MDC-H309","Deploying and Managing Your Small Business with Windows Server 2012 R2 Essentials"
"MDC-H310","Desired State Configuration with Windows Server 2012 R2"
"MDC-H312","Enhancements with Window Server 2012 R2 Hyper-v Replica"
"MDC-H315","Microsoft System Center 2012 - Orchestrator  Overview and Automation of IT Process"
"MDC-H316","Performing Basic Customizations for Microsoft System Center 2012 - Service Manager"
"MDC-H317","Protecting File Servers with Microsoft System Center 2012 - Data Protection Manager"
"MDC-H319","Integrating Microsoft System Center 2012 SP1 - Operations Manager with Team Foundation Server (TFS)"
"MDC-H320","Microsoft System Center 2012  Hybrid Cloud Management"
"MDC-H321","Microsoft System Center 2012  Network Virtualization"
"MDC-H322","Microsoft System Center 2012  Service Delivery and Automation"
"MDC-H324","Microsoft System Center 2012  Linux Configuration and Management"
"MDC-H325","Managing Your Datacenter Devices with Windows Server and Microsoft System Center 2012 R2"
"MDC-H328","Deploying and Managing Microsoft Workloads with Microsoft System Center 2012"
"MDC-H329","Monitoring Your Infrastructure and Network with Microsoft System Center 2012"
"MDC-IL201","Building a Windows Server 2012 Storage Infrastructure"
"MDC-IL206","Desired State Configuration with Windows Server 2012 R2"
"MDC-IL207","Network Automation Using Window Server 2012 R2 IPAM"
"MDC-IL301","Transform the Datacenter Immersion, Part 1 of 4  Infrastructure Foundation"
"MDC-IL302","Transform the Datacenter Immersion, Part 2 of 4  Infrastructure Management"
"MDC-IL303","Transform the Datacenter Immersion, Part 3 of 4  Application Management"
"MDC-IL304","Transform the Datacenter Immersion, Part 4 of 4  Insight and Availability"
"MDC-IL305","Active Directory Deployment and Management Enhancements"
"OUC-B201","Become a Microsoft Office Ninja in 60 Minutes"
"OUC-B202","Choosing the Right Cloud Service"
"OUC-B203","Collaborating with the New Microsoft Office Web Apps"
"OUC-B204","Network Design and Deployment Strategies to Ensure Success for Microsoft Lync Server 2013 Enterprise Voice"
"OUC-B205","Security in Microsoft Office 365"
"OUC-B206","A Look Inside Microsoft Office 365"
"OUC-B207","The New Outlook Web App  Designed for Touch and Offline Too!"
"OUC-B208","Deploying Microsoft Office  Attend This Session Before You Begin!"
"OUC-B209","Microsoft Office 365 for Education  Overview and Upgrades"
"OUC-B210","Team Collaboration with Site Mailboxes"
"OUC-B211","Overview of Microsoft Office 365 Identity Management"
"OUC-B212","Help Small Businesses Seize the Day with Microsoft Office 365"
"OUC-B216","Microsoft Office 365 Service Communications"
"OUC-B222","Introducing Microsoft Lync Room System"
"OUC-B301","Data Loss Prevention in Microsoft Exchange and Microsoft Outlook 2013"
"OUC-B302","Deploying and Updating??Microsoft Office 365 ProPlus with Click-to-Run"
"OUC-B303","Designing for High Availability and Disaster Recovery in Microsoft Lync Server 2013"
"OUC-B304","Developing Mobile Apps with Microsoft Exchange Web Services"
"OUC-B305","Enterprise Network Requirements for Microsoft Lync Server 2013"
"OUC-B306","Exchange Online Protection"
"OUC-B307","Get Moving with Your Mailbox!"
"OUC-B308","Internals of Deploying the In-Place Archive  Online, On-Premises, or Hybrid"
"OUC-B310","Microsoft Exchange Archiving Policy  Move, Delete, or Hold"
"OUC-B312","Microsoft Exchange in the Cloud  Scared of Losing Your Job "
"OUC-B313","Microsoft Exchange Server 2013 Client Access Server Role"
"OUC-B314","Microsoft Exchange Server 2013 High Availability and Site Resilience"
"OUC-B315","Microsoft Exchange Server 2013 Managed Availability"
"OUC-B316","Microsoft Exchange Server 2013 On-Premises Upgrade and Coexistence"
"OUC-B317","Microsoft Exchange Server 2013 Sizing"
"OUC-B318","Microsoft Exchange Server 2013 Tips & Tricks"
"OUC-B322","Using Windows PowerShell Magic to Manage Microsoft Office 365"
"OUC-B323","Monitoring Microsoft Lync Server 2013  Getting the Most out of Monitoring Service Data"
"OUC-B324","Planning and Deploying Your Enterprise Voice "
"OUC-B326","Virtualization in Microsoft Exchange Server 2013"
"OUC-B328","Planning and Deployment for Edge Server with Microsoft Lync Server 2013"
"OUC-B329","Modern Public Folders Overview, Migration and Microsoft Office 365"
"OUC-B330","Mobile Devices Deep Dive with Microsoft Lync Server 2013"
"OUC-B331","Voice Interoperability Fundamentals"
"OUC-B332","Planning  and Deploying Conferencing in Microsoft Lync Server 2013"
"OUC-B333","Lap Around the Microsoft Lync 2013 Developer Platform"
"OUC-B334","Migration and Coexistence with Microsoft Lync Server 2013"
"OUC-B335","Scripting and Automation for Microsoft Lync"
"OUC-B340","Microsoft Office 365 Deployment"
"OUC-B341","Microsoft Office 365 Directory and Access Management with Windows Azure Active Directory "
"OUC-B401","Microsoft Lync Server 2013 Dial Plan and Voice Routing Deep Dive"
"OUC-B404","Microsoft Lync Server 2013 Notes from the Field  Early Adoption and Migration"
"OUC-B405","Deep Dive into New Unified Communications Web API of Microsoft Lync Server 2013"
"OUC-H201","Exploring the New Microsoft Outlook and Outlook Web App"
"OUC-H202","Managing a Pilot of the New Microsoft Office"
"OUC-H203","Deploying and Configuring Microsoft Lync Server 2013 Persistent Chat"
"OUC-H204","Deploying and Configuring Microsoft Lync Edge Server 2013"
"OUC-H205","Deploying Microsoft Lync Server 2013"
"OUC-H206","Configuring Coexistence and Interoperability with Microsoft Lync Server 2013"
"OUC-H207","Configuring High Availability and Disaster Recovery in Microsoft Lync Server 2013"
"OUC-H208","Deploying Microsoft Office Web App Server and Experiencing Collaboration Features"
"OUC-H301","Using Archiving and eDiscovery Center in Microsoft Exchange Server 2013"
"OUC-H302","Deploying Site Mailboxes"
"OUC-H303","Using the Microsoft Exchange Server 2013 Admin Center"
"OUC-H304","Deploying and Managing Exchange Mailbox High Availability"
"OUC-H305","Configuring Microsoft Exchange Protection and Control"
"OUC-H306","Managing Microsoft Office 365"
"OUC-H307","Deploying Microsoft Office as a Service"
"OUC-IL201","Deploying and Configuring Microsoft Lync Edge Server 2013 (repeats on 6 27 at 10 15)"
"OUC-IL201-R","Deploying and Configuring Microsoft Lync Edge Server 2013 (repeated from 6 26 at 10 15)"
"PRC01","Deploying and Managing Windows 8 in the Real World"
"PRC02","From 0 to DAX"
"PRC03","Implementing Next Generation Infrastructure Solutions with Windows Server 2012"
"PRC04","Windows Server Direct Access "
"PRC05","Simplify and Maximize System Management with System Center 2012 Configuration Manager SP1  Notes from the Field"
"PRC06","How to Be a Successful DBA in the Changing World of Cloud and On-Premise Data"
"PRC07","Lessons from the Field  Useful Hacker Techniques for Administrators"
"PRC08","Install and Configure Microsoft SharePoint 2013"
"PRC09","Windows Store Apps from A to Z"
"PRC10","Mastering ASP.NET MVC4 in Just One Day"
"PRC11","Kickstart Your Application Lifecycle Management Using Team Foundation Server 2012"
"PRC12","Enterprise Agility Is Not an Oxymoron"
"PRC13","Extending Your Apps and Infrastructure Into the Cloud "
"SES-B201","0 to 60  Developing Apps for Microsoft Office 2013"
"SES-B202","0 to 60  Developing Apps for Microsoft SharePoint 2013"
"SES-B203","Microsoft SharePoint 2013 and Office 365 Upgrade and Migration  Strategy and Tactics "
"SES-B206","Overview of Enterprise Social from Microsoft"
"SES-B207","Enterprise Social Network Scared Straight  Learn By Doing"
"SES-B210","The Right Project Management Solution  From Microsoft SharePoint Online to Project Online"
"SES-B301","Advanced Patterns in Cloud-Hosted Apps for Microsoft SharePoint"
"SES-B302","Building End-to-End Apps for Microsoft SharePoint with Windows Azure and Windows 8"
"SES-B305","Developing Apps for Microsoft SharePoint 2013 with Microsoft Visual Studio 2012"
"SES-B307","Microsoft Office 365 Identity Solutions  Notes from the Field"
